timeindex,FR-coal-st,FR-electricity-shortage,FR-gas-gt,FR-oil-ocgt,FR-others-non-res,FR-uranium-st,FR-hydro-ror,FR-solar-pv,FR-wind-onshore,FR-biomass-ce,FR-hydro-phs,FR-hydro-reservoir,import,FR-electricity-load,FR-electricity-excess
2030-01-03 18:00:00,0.0,0.0,0.0,0.0,4590.0,24705.4836338,6328.467987394989,0.0,33504.235212,4800.0,0.0,0.0,-3382.474847198,70545.71198599816,0.0
2030-01-03 19:00:00,0.0,0.0,0.0,0.0,4590.0,27735.0327705,6338.989161495261,0.0,31544.560468999996,4800.0,-7000.0,0.0,-1605.26315789,66403.31924311507,0.0
2030-01-03 20:00:00,0.0,0.0,0.0,0.0,4590.0,17640.8504898,6349.537628966026,0.0,29224.642494,4800.0,0.0,0.0,-341.24070740000025,62263.789905353784,0.0
2030-01-03 21:00:00,0.0,0.0,0.0,0.0,4590.0,22759.7902819,6360.118069785336,0.0,26950.696793999996,4800.0,0.0,0.0,-1227.7469849070003,64232.85816078415,0.0
2030-01-03 22:00:00,0.0,0.0,0.0,0.0,4590.0,20586.1124843,6370.735163931237,0.0,26028.515382999998,4800.0,0.0,0.0,89.81970100000035,62465.182732254325,0.0
2030-01-03 23:00:00,0.0,0.0,0.0,0.0,4590.0,23191.734515,6381.393591381789,0.0,25563.051704999998,4800.0,-7000.0,0.0,629.5782125599999,58155.7580239324,0.0
2030-01-04 00:00:00,0.0,0.0,0.0,0.0,4590.0,14309.6662162,6392.098032115041,0.0,26066.549031000002,4800.0,0.0,0.0,1194.73684211,57353.050121452055,0.0
2030-01-04 01:00:00,0.0,0.0,0.0,0.0,4590.0,14410.3219584,6402.85731238354,0.0,26422.127759,4800.0,-2500.01138695,0.0,1194.73684211,55320.03248496797,0.0
2030-01-04 02:00:00,0.0,0.0,0.0,0.0,4590.0,9580.62427925,6413.696843537799,0.0,26905.531837,4800.0,0.0,0.0,1194.73684211,53484.58980188866,0.0
2030-01-04 03:00:00,0.0,0.0,0.0,0.0,4590.0,15983.0501398,6424.646183202827,0.0,27827.175036,4800.0,-7000.0,0.0,1194.73684211,53819.60820114026,0.0
2030-01-04 04:00:00,0.0,0.0,0.0,0.0,4590.0,12363.068,6435.734889003625,0.0,27930.377187,4800.0,0.0,0.0,1194.73684211,57313.916918120674,0.0
2030-01-04 05:00:00,0.0,0.0,0.0,0.0,4590.0,25961.6052847,6446.992518565205,0.0,27888.396651000003,4800.0,0.0,0.0,-5485.63374977,64201.36070444426,0.0
2030-01-04 06:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6458.448629512572,0.0,26992.811883,4800.0,0.0,0.0,-3891.7745061099995,69066.28600639704,0.0
2030-01-04 07:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6470.132779470729,36.4,25638.132278999998,4800.0,2462.14630172,0.0,-3855.1943547400006,70258.41700544336,0.0
2030-01-04 08:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6482.074526064685,1328.6,22616.206452000002,4800.0,7000.0,0.0,-6673.3550358699995,70260.32594219124,0.0
2030-01-04 09:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6494.303426919447,3767.3999999999996,18978.207289,4800.0,6765.10721982,0.0,-5858.533879359999,69653.28405636782,0.0
2030-01-04 10:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6506.849039660021,6024.200000000001,20277.271653,4800.0,1086.58458784,0.0,-3652.0199183499994,69749.68536213537,0.0
2030-01-04 11:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6519.740921911407,6588.4,24110.776325000003,4800.0,0.0,0.0,-7786.37553424,68939.34171266353,0.0
2030-01-04 12:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6533.008631298621,6042.400000000001,25526.094481000004,4800.0,0.0,0.0,-9994.717971024998,67613.58514126616,0.0
2030-01-04 13:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6546.681725446664,4786.6,26052.062158,4800.0,-401.748316377,0.0,-10211.15721256,66279.23835450337,0.0
2030-01-04 14:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6560.789761980544,2766.4,25503.220471,4800.0,0.0,0.0,-8565.7490534091,65771.4611795693,0.0
2030-01-04 15:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6575.362298525265,691.6,25966.755556,4800.0,1405.40511186,0.0,-7483.94279393,66661.98017245177,0.0
2030-01-04 16:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6590.428892705836,0.0,27065.649907000003,4800.0,7000.0,0.0,-7743.5453956619995,72419.33340403491,0.0
2030-01-04 17:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6606.019102147262,0.0,28055.870285000005,4800.0,7000.0,0.0,-6031.98452251,75136.70486463125,0.0
2030-01-04 18:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6622.16248447455,0.0,29302.189873,4800.0,3955.134975,0.0,-7136.84929899,72249.43803347426,0.0
2030-01-04 19:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6638.888597312703,0.0,31177.185928,4800.0,0.0,0.0,-9236.827538941001,68086.04698636457,0.0
2030-01-04 20:00:00,0.0,0.0,0.0,0.0,4590.0,19084.5919583,6656.226998286734,0.0,33223.423101,4800.0,0.0,0.0,-4192.96902487,64161.273032738936,0.0
2030-01-04 21:00:00,0.0,0.0,0.0,0.0,4590.0,22369.7971376,6674.207245021644,0.0,34502.573621,4800.0,-7000.0,0.0,-116.43893701999968,65820.13906664005,0.0
2030-01-04 22:00:00,0.0,0.0,0.0,0.0,4590.0,18752.4178678,6692.85889514244,0.0,35341.24247,4800.0,-7000.0,0.0,1194.73684211,64371.25607500491,0.0
2030-01-04 23:00:00,0.0,0.0,0.0,0.0,4590.0,6698.57537291,6712.2115062741295,0.0,35970.860808,4800.0,0.0,0.0,1194.73684211,59966.38452928936,0.0
2030-01-05 00:00:00,0.0,0.0,0.0,0.0,4590.0,5571.52992561,6732.294636041718,0.0,36548.093178,4800.0,0.0,0.0,1194.73684211,59436.65458175478,0.0
2030-01-05 01:00:00,0.0,0.0,0.0,0.0,4590.0,2916.67973191,6753.124010696219,0.0,36979.20099,4800.0,0.0,0.0,1194.73684211,57233.74157471003,0.0
2030-01-05 02:00:00,0.0,0.0,0.0,0.0,4590.0,7246.99080945,6774.660030992661,0.0,37413.941733,4800.0,-7000.0,0.0,1194.73684211,55020.329415552,0.0
2030-01-05 03:00:00,0.0,0.0,0.0,0.0,4590.0,0.0,6796.84926631209,0.0,38066.523783,4800.0,-401.055361395,0.0,1194.73684211,55047.054530022215,0.0
2030-01-05 04:00:00,0.0,0.0,0.0,0.0,4590.0,2084.88924049,6819.638286035538,0.0,38714.217074,4800.0,0.0,0.0,1194.73684211,58203.481442629214,0.0
2030-01-05 05:00:00,0.0,0.0,0.0,0.0,4590.0,8647.02151695,6842.973659544049,0.0,39329.258837,4800.0,0.0,0.0,1194.73684211,65403.990855603864,0.0
2030-01-05 06:00:00,0.0,0.0,0.0,0.0,4590.0,20367.8825473,6866.801956218663,0.0,39858.007276000004,4800.0,-7000.0,0.0,1194.73684211,70677.42862160136,0.0
2030-01-05 07:00:00,0.0,0.0,0.0,0.0,4590.0,19727.710532,6891.069745440416,72.8,40442.191550999996,4800.0,0.0,0.0,-5739.442748958,70784.32907948221,0.0
2030-01-05 08:00:00,0.0,0.0,0.0,0.0,4590.0,24082.4823534,6915.723596590346,473.2,40959.323581,4800.0,0.0,0.0,-10688.97396342,71131.75556759498,0.0
2030-01-05 09:00:00,0.0,0.0,0.0,0.0,4590.0,24957.586477,6940.710079049496,1073.8,41392.270284,4800.0,0.0,0.0,-12637.882766390001,71116.484073612,0.0
2030-01-05 10:00:00,0.0,0.0,0.0,0.0,4590.0,20503.1280029,6965.975762198904,1656.2,41926.26629,4800.0,0.0,0.0,-8353.43717686,72088.13287827904,0.0
2030-01-05 11:00:00,0.0,0.0,0.0,0.0,4590.0,18791.286036,6991.467215419605,2020.2,42280.723743,4800.0,0.0,0.0,-7892.3668227299995,71581.31017171891,0.0
2030-01-05 12:00:00,0.0,0.0,0.0,0.0,4590.0,20252.1809648,7017.131008092642,2056.6,42457.481534,4800.0,0.0,0.0,-10858.662867399999,70314.7306395056,0.0
2030-01-05 13:00:00,0.0,0.0,0.0,0.0,4590.0,18650.8281391,7042.9137095990545,1801.8000000000002,42575.036005,4800.0,0.0,0.0,-10691.13151163,68769.44634210289,0.0
2030-01-05 14:00:00,0.0,0.0,0.0,0.0,4590.0,26497.6183946,7068.761889319879,1183.0,42452.413370999995,4800.0,-7000.0,0.0,-11954.34680431,67637.44685061456,0.0
2030-01-05 15:00:00,0.0,0.0,0.0,0.0,4590.0,22919.4985736,7094.622116636155,309.40000000000003,42059.787717,4800.0,0.0,0.0,-13483.00518888,68290.30321838692,0.0
2030-01-05 16:00:00,0.0,0.0,0.0,0.0,4590.0,23905.2785156,7120.440960928922,0.0,41389.354969,4800.0,0.0,0.0,-9052.63157894,72752.44286653864,0.0
2030-01-05 17:00:00,0.0,0.0,0.0,0.0,4590.0,27232.7420839,7146.164991579221,0.0,40519.694079,4800.0,0.0,0.0,-9052.63157894,75235.96957552062,0.0
2030-01-05 18:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,7171.74077796809,0.0,39231.887316,4800.0,-4944.33134917,0.0,-9052.63157894,71913.46516584873,0.0
2030-01-05 19:00:00,0.0,0.0,0.0,0.0,4590.0,21347.5937467,7197.114889476564,0.0,37628.19496,4800.0,0.0,0.0,-8113.48701518,67449.41658094914,0.0
2030-01-05 20:00:00,0.0,0.0,0.0,0.0,4590.0,14987.9768711,7222.233895485684,0.0,35911.612637,4800.0,0.0,0.0,-3796.28710146,63715.53630211074,0.0
2030-01-05 21:00:00,0.0,0.0,0.0,0.0,4590.0,16347.2708996,7247.044365376493,0.0,34543.522584,4800.0,0.0,0.0,-2000.7205731499998,65527.11727584164,0.0
2030-01-05 22:00:00,0.0,0.0,0.0,0.0,4590.0,14412.4323618,7271.492868530029,0.0,33735.711223,4800.0,-1152.03590136,0.0,302.2796539199999,63959.880205838395,0.0
2030-01-05 23:00:00,0.0,0.0,0.0,0.0,4590.0,9207.77277052,7295.525974327329,0.0,32924.939696,4800.0,0.0,0.0,1072.7430869,59890.981527748394,0.0
2030-01-06 00:00:00,0.0,0.0,0.0,0.0,4590.0,9411.04279345,7319.090252149431,0.0,32057.835313000003,4800.0,0.0,0.0,1194.73684211,59372.70520070104,0.0
2030-01-06 01:00:00,0.0,0.0,0.0,0.0,4590.0,8543.15596739,7342.141056734711,0.0,30862.017951,4800.0,0.0,0.0,1194.73684211,57332.05181722547,0.0
2030-01-06 02:00:00,0.0,0.0,0.0,0.0,4590.0,14960.1716752,7364.668884250852,0.0,29754.063697999998,4800.0,-7000.0,0.0,1194.73684211,55663.641099584995,0.0
2030-01-06 03:00:00,0.0,0.0,0.0,0.0,4590.0,9119.47891904,7386.673016222892,0.0,28544.118271,4800.0,0.0,0.0,1194.73684211,55635.007048366904,0.0
2030-01-06 04:00:00,0.0,0.0,0.0,0.0,4590.0,17137.3098202,7408.152734175845,0.0,27114.178689000004,4800.0,0.0,0.0,-1617.7590034999998,59431.88223988508,0.0
2030-01-06 05:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,7429.107319634742,0.0,25324.803193,4800.0,0.0,0.0,-5769.580179120001,66491.1303335172,0.0
2030-01-06 06:00:00,1305.0,0.0,0.0,0.0,4590.0,30116.8,7449.536054124611,0.0,23416.393143,4800.0,0.0,0.0,935.361286819,72613.09048394396,0.0
