timeindex,AT-electricity,BE-electricity,CH-electricity,CZ-electricity,DE-electricity,DK-electricity,FR-electricity,IT-electricity,NL-electricity,NO-electricity,PL-electricity,SE-electricity
2030-05-27 11:00:00,2476.3036951,2800.0,1300.0,1968.421052632,-5812.0762639429995,3134.6478370100003,-13789.473684199998,4055.795987084,-229.55105857300003,7495.0,3200.0,-8473.684210528
2030-05-27 12:00:00,2868.29440676,2494.578572649,1300.0,1968.421052632,-6413.583276129,3204.4390684,-13789.473684199998,4500.0,-251.74479633600004,7495.0,3200.0,-8473.684210528
2030-05-27 13:00:00,2503.08939813,2645.653490834,1190.758724148,2097.950184179,-6627.752617831,3338.9969501699998,-13789.473684199998,4500.0,142.62124493700003,7495.0,3076.94732503,-8473.684210528
2030-05-27 14:00:00,2776.4071837,1733.425516,1529.462387922,0.0,-3610.100260854,3573.1563106999993,-13789.473684199998,3203.1995855630003,1133.709729533,7495.0,2600.0,-8473.684210528
2030-05-27 15:00:00,3350.00443546,2566.246272161,1852.420762715,0.0,-6549.408851640001,3728.3458221600004,-13789.473684199998,4500.0,2851.1676406839997,7495.0,600.0,-8473.684210528
2030-05-27 16:00:00,1754.2360855800002,3432.652642189,2189.6939690400004,113.85366974599998,-8440.038086732,3982.0322926500003,-13789.473684199998,8913.661343740001,4392.59403245,3695.0,131.254144079,-8473.684210528
2030-05-27 17:00:00,-918.707749348,3800.0,1300.0,621.81449028413,2240.3366596759997,3946.30461088,-13789.473684199998,5372.77236188,2478.8903448399997,1372.5740938069998,594.97404019355,-8473.684210528
2030-05-27 18:00:00,-829.947813925,2800.0,-5015.78947368,971.547419698,4792.31850558,2125.339238704,-13789.473684199998,11288.450423228,1400.0,2513.756480035,600.0,-8473.684210528
2030-05-27 19:00:00,-874.069199023,3703.769433566,-5015.78947368,823.863462843,3996.439056412,3403.157894737,-13789.473684199998,11330.365739071,1400.0,1168.6842105269998,600.0,-8473.684210528
2030-05-27 20:00:00,-1009.87501991,3800.0,-5025.19018708,285.851785811,5861.471804407,1703.1578947369999,-13779.578196409999,11459.381268916,1400.0,1484.4736842070001,600.0,-8473.684210528
2030-05-27 21:00:00,-1105.26315789,3800.0,-5015.78947368,45.0240417686,2296.49725637,1703.1578947369999,-13789.473684199998,11550.0,3742.57760644,2958.157894737,552.6062718225,-8473.684210528
2030-05-27 22:00:00,-1105.26315789,3668.66916795,-5015.78947368,128.759374437,2425.4798450979997,2145.275606188,-13789.473684199998,11550.0,4470.4898877020005,2958.157894737,-797.7264710080001,-8473.684210528
2030-05-27 23:00:00,-1105.26315789,3800.0,-3120.62083444,10.5365638984,1239.9177011410002,1557.148411452,-13789.473684199998,11550.0,4011.41805181,3695.0,-1326.309899353,-8473.684210528
