timeindex;AT-electricity-reservoir-profile;BE-electricity-reservoir-profile;CH-electricity-reservoir-profile;CZ-electricity-reservoir-profile;DE-electricity-reservoir-profile;FR-electricity-reservoir-profile;NO-electricity-reservoir-profile;PL-electricity-reservoir-profile;SE-electricity-reservoir-profile
2030-04-02T20:00:00Z;3912.5439499931463;33.08542787971621;14001.022165123759;229.28570906900475;265.3156001216782;4739.287804231981;18339.099755717212;92.3031012391285;5670.4466656484665
2030-04-02T21:00:00Z;3908.1458630704556;33.03139701332991;14016.275419641266;228.93223315773463;264.7443797825243;4731.278515546412;18287.212467459827;92.19176141817678;5658.89764546668
2030-04-02T22:00:00Z;3903.972251932082;32.977558966317815;14032.272559511766;228.57966968285345;264.17565997348913;4723.4531498923425;18235.393578766056;92.0808713541618;5647.35480546389
2030-04-02T23:00:00Z;3900.0362671445428;32.923934580733416;14049.051633407578;228.22795297455022;263.6095372412103;4715.81862961438;18183.64768177136;91.97042851469845;5635.819706881
2030-04-03T00:00:00Z;3896.351059274348;32.87054469863014;14066.65069000101;227.87701736301375;263.04610813232483;4708.381877057128;18131.97936861122;91.8604303674015;5624.293910958904
2030-04-03T01:00:00Z;3892.927269243396;32.817406456527;14085.091823699035;227.5268094771253;262.48545480992993;4701.148667864047;18080.392937645658;91.75087473582843;5612.778794146385
2030-04-03T02:00:00Z;3889.7654993951105;32.764522168804994;14104.333311847156;227.17732514053478;261.92760190296065;4694.120190874004;18028.891512132785;91.6417608673069;5601.274993723729
2030-04-03T03:00:00Z;3886.863842428299;32.71189044431067;14124.31747752555;226.82857247558456;261.3725596568119;4687.296488224726;17977.477921555266;91.53308836510726;5589.782962179115
2030-04-03T04:00:00Z;3884.220391041766;32.65950989189055;14144.986643814367;226.48055960461699;260.8203383168787;4680.677602053936;17926.154995395766;91.42485683249978;5578.303152000712
2030-04-03T05:00:00Z;3881.8332379343206;32.607379120391194;14166.283133793777;226.13329464997437;260.2709481285557;4674.263574499359;17874.925563136938;91.31706587275481;5566.836015676697
2030-04-03T06:00:00Z;3879.70047580477;32.55549673865913;14188.149270543949;225.78678573399895;259.724399337238;4668.054447698718;17823.79245426144;91.20971508914262;5555.382005695239
2030-04-03T07:00:00Z;3877.8201973519185;32.50386135554088;14210.527377145027;225.44104097903312;259.18070218832025;4662.050263789735;17772.75849825192;91.10280408493344;5543.94157454451
2030-04-03T08:00:00Z;3876.1904952745726;32.452471579882996;14233.359776677185;225.09606850741906;258.63986692719743;4656.251064910137;17721.826524591044;90.9963324633977;5532.5151747126865
